title,description,lat,lon,reported_by,reported_at,city,severity
Pothole #65,Deep hole,12.93872,77.661542,user65,2025-04-22T09:15:00,Bengaluru,3
Pothole #66,Needs repair,12.994217,77.553524,user66,2025-05-16T17:42:00,Bengaluru,5
Pothole #67,Crater-like,12.914772,77.54856,user67,2025-02-27T02:52:00,Bengaluru,5
Pothole #68,Deep hole,12.92438,77.67446,user68,2025-03-06T02:20:00,Bengaluru,3
Pothole #69,Needs repair,13.014467,77.674157,user69,2025-08-21T22:43:00,Bengaluru,3
Pothole #70,Deep hole,12.978659,77.69136,user70,2025-09-23T19:55:00,Bengaluru,1
Pothole #71,Causes skidding,12.897798,77.554572,user71,2025-07-25T20:19:00,Bengaluru,2
Pothole #72,Causes skidding,12.984177,77.746356,user72,2025-05-14T17:46:00,Bengaluru,3
Pothole #73,Causes skidding,12.972236,77.718552,user73,2025-06-10T19:54:00,Bengaluru,5
Pothole #74,Causes skidding,12.888936,77.692363,user74,2025-06-20T07:27:00,Bengaluru,5
Pothole #75,Deep hole,13.021455,77.544141,user75,2025-04-18T07:28:00,Bengaluru,2
Pothole #76,Crater-like,12.967599,77.501584,user76,2025-09-16T05:41:00,Bengaluru,2
Pothole #77,Crater-like,12.913072,77.689919,user77,2025-02-19T22:27:00,Bengaluru,3
Pothole #78,Causes skidding,12.939887,77.648083,user78,2025-09-10T01:03:00,Bengaluru,2
Pothole #79,Crater-like,12.990908,77.611288,user79,2025-05-04T06:17:00,Bengaluru,5
Pothole #80,Causes skidding,12.959025,77.609851,user80,2025-11-19T20:11:00,Bengaluru,5
Pothole #81,Needs repair,12.958994,77.608802,user81,2025-03-18T08:33:00,Bengaluru,1
Pothole #82,Needs repair,12.919742,77.597677,user82,2025-06-26T02:54:00,Bengaluru,3
Pothole #83,Deep hole,12.952206,77.726688,user83,2025-10-23T16:36:00,Bengaluru,1
Pothole #84,Small crack,12.865695,77.578412,user84,2025-11-01T02:58:00,Bengaluru,3
Pothole #85,Causes skidding,12.918113,77.60449,user85,2025-01-16T16:11:00,Bengaluru,3
Pothole #86,Needs repair,12.994946,77.643529,user86,2025-08-13T04:47:00,Bengaluru,3
Pothole #87,Crater-like,12.869414,77.654726,user87,2025-07-23T06:14:00,Bengaluru,3
Pothole #88,Damaged patch,13.009218,77.636357,user88,2025-02-24T14:48:00,Bengaluru,2
Pothole #89,Needs repair,12.88096,77.563882,user89,2025-10-19T08:42:00,Bengaluru,5
Pothole #90,Needs repair,12.893235,77.650705,user90,2025-02-15T18:45:00,Bengaluru,3
Pothole #91,Crater-like,12.915318,77.508444,user91,2025-07-26T17:01:00,Bengaluru,5
Pothole #92,Small crack,13.033242,77.606605,user92,2025-09-06T06:39:00,Bengaluru,3
Pothole #93,Causes skidding,13.037614,77.627466,user93,2025-02-01T19:36:00,Bengaluru,4
Pothole #94,Causes skidding,13.010223,77.68363,user94,2025-05-23T10:27:00,Bengaluru,5
Pothole #95,Damaged patch,13.013253,77.724571,user95,2025-02-13T11:14:00,Bengaluru,1
Pothole #96,Small crack,12.961586,77.671979,user96,2025-10-11T20:17:00,Bengaluru,5
Pothole #97,Damaged patch,12.899215,77.584722,user97,2025-01-26T17:56:00,Bengaluru,5
Pothole #98,Causes skidding,12.890471,77.545558,user98,2025-11-09T07:32:00,Bengaluru,1
Pothole #99,Damaged patch,12.919581,77.533602,user99,2025-10-11T17:31:00,Bengaluru,5
Pothole #100,Small crack,12.991708,77.730089,user100,2025-11-17T03:13:00,Bengaluru,2
Pothole #101,Crater-like,12.950012,77.583298,user101,2025-04-11T08:29:00,Bengaluru,4
Pothole #102,Needs repair,12.987779,77.65882,user102,2025-07-02T19:51:00,Bengaluru,1
Pothole #103,Deep hole,12.875961,77.652493,user103,2025-03-08T12:45:00,Bengaluru,3
Pothole #104,Causes skidding,12.857249,77.523793,user104,2025-08-18T17:13:00,Bengaluru,5
Pothole #105,Small crack,12.915996,77.710562,user105,2025-05-11T08:55:00,Bengaluru,4
Pothole #106,Deep hole,12.985363,77.686987,user106,2025-05-08T02:52:00,Bengaluru,3
Pothole #107,Needs repair,12.962221,77.667843,user107,2025-02-11T05:40:00,Bengaluru,5
Pothole #108,Small crack,12.926332,77.518717,user108,2025-04-21T08:47:00,Bengaluru,1
Pothole #109,Deep hole,12.851656,77.61612,user109,2025-03-28T09:52:00,Bengaluru,3
Pothole #110,Causes skidding,12.987027,77.547762,user110,2025-08-16T00:30:00,Bengaluru,3
Pothole #111,Small crack,12.853847,77.683471,user111,2025-03-16T13:22:00,Bengaluru,1
Pothole #112,Deep hole,12.896639,77.726165,user112,2025-06-01T15:42:00,Bengaluru,2
Pothole #113,Deep hole,13.017689,77.505104,user113,2025-07-18T22:39:00,Bengaluru,3
Pothole #114,Causes skidding,12.969396,77.731089,user114,2025-08-27T15:54:00,Bengaluru,3
Pothole #115,Needs repair,12.946825,77.530403,user115,2025-07-11T21:00:00,Bengaluru,4
Pothole #116,Small crack,12.992361,77.564442,user116,2025-03-25T21:34:00,Bengaluru,5
Pothole #117,Small crack,12.97208,77.563387,user117,2025-09-08T20:08:00,Bengaluru,2
Pothole #118,Crater-like,12.981531,77.694126,user118,2025-01-10T03:48:00,Bengaluru,2
Pothole #119,Needs repair,12.913839,77.704819,user119,2025-01-23T16:12:00,Bengaluru,2
Pothole #120,Damaged patch,12.908653,77.645191,user120,2025-02-03T00:25:00,Bengaluru,5
Pothole #121,Damaged patch,13.038674,77.640994,user121,2025-10-23T21:28:00,Bengaluru,3
Pothole #122,Deep hole,12.985789,77.738541,user122,2025-01-27T13:45:00,Bengaluru,2
Pothole #123,Needs repair,12.963853,77.516567,user123,2025-01-26T23:58:00,Bengaluru,2
Pothole #124,Small crack,12.912531,77.656222,user124,2025-09-12T05:08:00,Bengaluru,3
Pothole #125,Damaged patch,12.971845,77.503356,user125,2025-01-13T18:58:00,Bengaluru,4
Pothole #126,Deep hole,12.972619,77.612581,user126,2025-09-02T04:31:00,Bengaluru,4
Pothole #127,Crater-like,12.992044,77.602281,user127,2025-03-19T16:03:00,Bengaluru,3
Pothole #128,Crater-like,12.932484,77.60711,user128,2025-11-18T08:11:00,Bengaluru,3
Pothole #129,Damaged patch,12.974603,77.59537,user129,2025-07-14T03:52:00,Bengaluru,4
Pothole #130,Crater-like,12.98665,77.539578,user130,2025-05-07T07:31:00,Bengaluru,1
Pothole #131,Needs repair,12.937455,77.667458,user131,2025-04-07T22:36:00,Bengaluru,3
Pothole #132,Deep hole,12.936071,77.710033,user132,2025-08-28T08:30:00,Bengaluru,4
Pothole #133,Crater-like,12.963989,77.5781,user133,2025-08-14T15:52:00,Bengaluru,2
Pothole #134,Deep hole,12.975987,77.565289,user134,2025-01-21T22:12:00,Bengaluru,3
Pothole #135,Damaged patch,12.987298,77.526814,user135,2025-08-18T21:33:00,Bengaluru,2
Pothole #136,Small crack,12.93404,77.704033,user136,2025-06-12T19:49:00,Bengaluru,4
Pothole #137,Needs repair,13.039097,77.62986,user137,2025-11-07T00:52:00,Bengaluru,1
Pothole #138,Damaged patch,12.96314,77.635674,user138,2025-09-13T10:48:00,Bengaluru,5
Pothole #139,Deep hole,12.874684,77.62982,user139,2025-02-01T14:18:00,Bengaluru,3
Pothole #140,Needs repair,13.041033,77.731428,user140,2025-01-08T02:19:00,Bengaluru,2
Pothole #141,Crater-like,13.002418,77.501654,user141,2025-10-24T06:34:00,Bengaluru,5
Pothole #142,Damaged patch,13.042798,77.734077,user142,2025-04-25T09:16:00,Bengaluru,2
Pothole #143,Deep hole,13.03314,77.632394,user143,2025-03-10T20:01:00,Bengaluru,1
Pothole #144,Damaged patch,13.001704,77.665879,user144,2025-10-01T20:35:00,Bengaluru,5
Pothole #145,Deep hole,12.938498,77.737271,user145,2025-01-18T09:46:00,Bengaluru,3
Pothole #146,Deep hole,12.911254,77.65305,user146,2025-08-01T19:16:00,Bengaluru,4
Pothole #147,Needs repair,13.01223,77.548679,user147,2025-09-13T03:17:00,Bengaluru,5
Pothole #148,Causes skidding,12.987134,77.653551,user148,2025-05-16T11:14:00,Bengaluru,2
Pothole #149,Small crack,12.873857,77.503637,user149,2025-02-21T08:26:00,Bengaluru,3
Pothole #150,Crater-like,12.872905,77.681312,user150,2025-10-25T14:21:00,Bengaluru,5
Pothole #151,Needs repair,12.921161,77.501765,user151,2025-02-13T12:27:00,Bengaluru,5
Pothole #152,Crater-like,12.889412,77.706486,user152,2025-07-16T06:16:00,Bengaluru,5
Pothole #153,Causes skidding,13.048986,77.604645,user153,2025-09-15T04:45:00,Bengaluru,3
Pothole #154,Crater-like,12.999959,77.666237,user154,2025-06-10T06:33:00,Bengaluru,1
Pothole #155,Needs repair,13.027116,77.59936,user155,2025-02-25T23:49:00,Bengaluru,1
Pothole #156,Small crack,13.03234,77.519396,user156,2025-09-08T18:12:00,Bengaluru,4
Pothole #157,Crater-like,13.015999,77.744223,user157,2025-07-06T12:54:00,Bengaluru,2
Pothole #158,Small crack,12.94911,77.540965,user158,2025-09-02T22:46:00,Bengaluru,2
Pothole #159,Damaged patch,12.954799,77.631494,user159,2025-06-10T22:02:00,Bengaluru,3
Pothole #160,Needs repair,12.974252,77.709545,user160,2025-02-27T16:23:00,Bengaluru,3
Pothole #161,Deep hole,12.960474,77.632462,user161,2025-05-02T12:04:00,Bengaluru,2
Pothole #162,Deep hole,12.880331,77.733539,user162,2025-08-17T05:28:00,Bengaluru,1
Pothole #163,Causes skidding,12.913933,77.624218,user163,2025-10-12T02:05:00,Bengaluru,1
Pothole #164,Causes skidding,12.938263,77.657981,user164,2025-09-05T06:59:00,Bengaluru,2
Pothole #165,Causes skidding,12.990767,77.573088,user165,2025-04-07T13:52:00,Bengaluru,5
Pothole #166,Deep hole,12.87318,77.678618,user166,2025-03-17T12:18:00,Bengaluru,4
Pothole #167,Damaged patch,12.877232,77.663695,user167,2025-02-28T11:30:00,Bengaluru,3
Pothole #168,Needs repair,12.917154,77.593405,user168,2025-10-24T07:30:00,Bengaluru,4
Pothole #169,Causes skidding,12.973744,77.66411,user169,2025-10-26T13:25:00,Bengaluru,1
Pothole #170,Small crack,12.957537,77.572186,user170,2025-02-18T01:01:00,Bengaluru,1
Pothole #171,Needs repair,12.936247,77.569551,user171,2025-01-07T10:51:00,Bengaluru,1
Pothole #172,Deep hole,12.956611,77.657572,user172,2025-06-14T23:08:00,Bengaluru,4
Pothole #173,Damaged patch,12.900988,77.547364,user173,2025-04-16T12:38:00,Bengaluru,3
Pothole #174,Damaged patch,12.936409,77.532386,user174,2025-05-25T16:48:00,Bengaluru,3
Pothole #175,Damaged patch,13.00519,77.718129,user175,2025-10-21T05:33:00,Bengaluru,1
Pothole #176,Small crack,12.880993,77.607878,user176,2025-06-07T00:40:00,Bengaluru,1
Pothole #177,Damaged patch,13.030301,77.708034,user177,2025-02-15T02:21:00,Bengaluru,4
Pothole #178,Small crack,12.894292,77.530183,user178,2025-01-12T01:19:00,Bengaluru,5
Pothole #179,Damaged patch,12.857443,77.743946,user179,2025-01-19T06:41:00,Bengaluru,2
Pothole #180,Crater-like,13.035393,77.615429,user180,2025-01-23T18:22:00,Bengaluru,2
Pothole #181,Crater-like,12.911977,77.519372,user181,2025-11-22T18:01:00,Bengaluru,4
Pothole #182,Small crack,12.864687,77.66829,user182,2025-04-17T05:57:00,Bengaluru,5
Pothole #183,Small crack,12.985493,77.56734,user183,2025-05-24T00:50:00,Bengaluru,4
Pothole #184,Causes skidding,13.013609,77.524514,user184,2025-08-19T15:04:00,Bengaluru,5
Pothole #185,Small crack,12.885473,77.669507,user185,2025-06-07T17:13:00,Bengaluru,3
Pothole #186,Needs repair,12.983154,77.672159,user186,2025-07-26T05:36:00,Bengaluru,2
Pothole #187,Small crack,13.021659,77.594186,user187,2025-02-04T03:42:00,Bengaluru,1
Pothole #188,Damaged patch,12.945092,77.613345,user188,2025-01-19T22:38:00,Bengaluru,3
Pothole #189,Needs repair,12.886664,77.684611,user189,2025-11-14T00:58:00,Bengaluru,4
Pothole #190,Damaged patch,12.881747,77.744918,user190,2025-05-26T19:55:00,Bengaluru,4
Pothole #191,Causes skidding,12.930405,77.522273,user191,2025-11-01T22:04:00,Bengaluru,5
Pothole #192,Causes skidding,12.969499,77.651843,user192,2025-11-19T10:46:00,Bengaluru,5
Pothole #193,Small crack,13.015897,77.501221,user193,2025-05-08T00:50:00,Bengaluru,3
Pothole #194,Needs repair,13.031184,77.59123,user194,2025-09-15T05:53:00,Bengaluru,3
Pothole #195,Needs repair,13.041526,77.733417,user195,2025-07-27T23:46:00,Bengaluru,3
Pothole #196,Deep hole,13.018466,77.697354,user196,2025-10-24T20:02:00,Bengaluru,1
Pothole #197,Causes skidding,12.96873,77.583789,user197,2025-03-10T04:04:00,Bengaluru,4
Pothole #198,Causes skidding,12.986899,77.557855,user198,2025-02-15T03:50:00,Bengaluru,3
Pothole #199,Damaged patch,12.933993,77.684414,user199,2025-02-06T15:06:00,Bengaluru,5
Pothole #200,Causes skidding,13.01233,77.604537,user200,2025-09-02T09:22:00,Bengaluru,3
Pothole #201,Damaged patch,12.985809,77.55888,user201,2025-06-13T17:32:00,Bengaluru,5
Pothole #202,Damaged patch,13.028741,77.621533,user202,2025-03-26T22:57:00,Bengaluru,5
Pothole #203,Needs repair,12.919604,77.562287,user203,2025-03-11T23:10:00,Bengaluru,4
Pothole #204,Crater-like,12.978662,77.6159,user204,2025-02-19T22:22:00,Bengaluru,3
Pothole #205,Damaged patch,12.974409,77.691324,user205,2025-07-27T11:03:00,Bengaluru,4
Pothole #206,Deep hole,12.985111,77.66503,user206,2025-03-13T00:54:00,Bengaluru,5
Pothole #207,Small crack,12.865162,77.505546,user207,2025-06-25T00:33:00,Bengaluru,4
Pothole #208,Causes skidding,12.878715,77.552987,user208,2025-05-28T06:09:00,Bengaluru,2
Pothole #209,Damaged patch,12.857273,77.568117,user209,2025-06-01T08:42:00,Bengaluru,3
Pothole #210,Small crack,12.965217,77.567208,user210,2025-02-25T02:47:00,Bengaluru,1
Pothole #211,Damaged patch,12.967897,77.686234,user211,2025-11-07T09:14:00,Bengaluru,5
Pothole #212,Needs repair,12.931325,77.669053,user212,2025-03-02T07:03:00,Bengaluru,5
Pothole #213,Needs repair,12.923362,77.577007,user213,2025-02-07T16:52:00,Bengaluru,1
Pothole #214,Crater-like,12.996315,77.585067,user214,2025-01-05T04:27:00,Bengaluru,2
Pothole #215,Deep hole,12.861816,77.724124,user215,2025-07-10T07:13:00,Bengaluru,4
Pothole #216,Damaged patch,12.945385,77.72719,user216,2025-05-13T07:06:00,Bengaluru,4
Pothole #217,Deep hole,12.927948,77.746315,user217,2025-05-20T21:16:00,Bengaluru,4
Pothole #218,Small crack,12.886942,77.578283,user218,2025-06-26T11:29:00,Bengaluru,3
Pothole #219,Damaged patch,13.035056,77.634454,user219,2025-08-04T07:52:00,Bengaluru,2
Pothole #220,Causes skidding,12.933058,77.663262,user220,2025-03-12T04:08:00,Bengaluru,1
Pothole #221,Damaged patch,13.040353,77.554909,user221,2025-06-25T13:19:00,Bengaluru,4
Pothole #222,Crater-like,12.924753,77.6638,user222,2025-01-26T07:30:00,Bengaluru,5
Pothole #223,Deep hole,13.010742,77.71857,user223,2025-02-08T23:36:00,Bengaluru,3
Pothole #224,Causes skidding,12.970454,77.617876,user224,2025-05-14T10:09:00,Bengaluru,4
Pothole #225,Needs repair,12.87968,77.682689,user225,2025-02-16T03:54:00,Bengaluru,1
Pothole #226,Causes skidding,12.984681,77.679271,user226,2025-04-21T02:51:00,Bengaluru,2
Pothole #227,Causes skidding,12.942771,77.7005,user227,2025-09-22T19:02:00,Bengaluru,5
Pothole #228,Deep hole,12.936524,77.524599,user228,2025-08-15T04:57:00,Bengaluru,3
Pothole #229,Small crack,13.034784,77.734167,user229,2025-07-13T10:17:00,Bengaluru,4
Pothole #230,Small crack,13.006247,77.54289,user230,2025-11-26T19:26:00,Bengaluru,3
Pothole #231,Deep hole,12.946752,77.699448,user231,2025-02-03T07:07:00,Bengaluru,4
Pothole #232,Causes skidding,12.861236,77.573805,user232,2025-05-22T22:54:00,Bengaluru,2
Pothole #233,Crater-like,12.97232,77.675745,user233,2025-05-27T07:28:00,Bengaluru,2
Pothole #234,Crater-like,12.908153,77.543644,user234,2025-08-22T01:41:00,Bengaluru,1
Pothole #235,Causes skidding,12.914832,77.621604,user235,2025-04-04T21:00:00,Bengaluru,1
Pothole #236,Needs repair,12.91799,77.602128,user236,2025-03-01T15:23:00,Bengaluru,3
Pothole #237,Causes skidding,13.034497,77.551782,user237,2025-06-09T07:16:00,Bengaluru,1
Pothole #238,Causes skidding,12.999074,77.715634,user238,2025-04-13T19:19:00,Bengaluru,5
Pothole #239,Needs repair,12.996928,77.705406,user239,2025-08-27T04:46:00,Bengaluru,1
Pothole #240,Causes skidding,12.947952,77.551639,user240,2025-01-24T14:53:00,Bengaluru,1
Pothole #241,Causes skidding,12.966701,77.595972,user241,2025-10-03T01:11:00,Bengaluru,3
Pothole #242,Crater-like,13.047076,77.676869,user242,2025-01-08T12:39:00,Bengaluru,5
Pothole #243,Deep hole,12.993534,77.544554,user243,2025-01-21T10:22:00,Bengaluru,5
Pothole #244,Deep hole,12.941472,77.578713,user244,2025-10-14T19:38:00,Bengaluru,2
Pothole #245,Deep hole,12.994256,77.530198,user245,2025-05-12T00:18:00,Bengaluru,4
Pothole #246,Damaged patch,12.907556,77.634929,user246,2025-02-10T05:09:00,Bengaluru,3
Pothole #247,Deep hole,12.923949,77.735365,user247,2025-02-25T04:06:00,Bengaluru,2
Pothole #248,Causes skidding,12.998912,77.653497,user248,2025-07-21T10:18:00,Bengaluru,3
Pothole #249,Crater-like,12.894664,77.569424,user249,2025-04-22T18:51:00,Bengaluru,5
Pothole #250,Deep hole,13.010725,77.704998,user250,2025-01-06T06:56:00,Bengaluru,1
Pothole #251,Crater-like,12.870836,77.73721,user251,2025-05-10T04:31:00,Bengaluru,3
Pothole #252,Damaged patch,12.864338,77.581951,user252,2025-09-25T01:41:00,Bengaluru,4
Pothole #253,Damaged patch,12.953809,77.719778,user253,2025-07-24T07:09:00,Bengaluru,1
Pothole #254,Damaged patch,12.998165,77.745487,user254,2025-06-23T11:30:00,Bengaluru,5
Pothole #255,Needs repair,12.89048,77.565371,user255,2025-01-28T14:27:00,Bengaluru,3
Pothole #256,Deep hole,12.919038,77.528346,user256,2025-08-26T04:40:00,Bengaluru,2
Pothole #257,Damaged patch,12.989625,77.545331,user257,2025-10-05T06:28:00,Bengaluru,5
Pothole #258,Causes skidding,12.879373,77.743364,user258,2025-11-05T01:29:00,Bengaluru,1
Pothole #259,Small crack,12.912204,77.586571,user259,2025-09-04T06:44:00,Bengaluru,2
Pothole #260,Small crack,12.91417,77.624487,user260,2025-10-19T06:16:00,Bengaluru,1
Pothole #261,Deep hole,12.954963,77.528635,user261,2025-03-13T19:56:00,Bengaluru,3
Pothole #262,Small crack,12.87977,77.632759,user262,2025-06-22T07:24:00,Bengaluru,4
Pothole #263,Needs repair,12.950024,77.622185,user263,2025-11-05T09:09:00,Bengaluru,3
Pothole #264,Small crack,13.028168,77.525912,user264,2025-06-07T09:36:00,Bengaluru,3
Pothole #265,Deep hole,12.909373,77.564698,user265,2025-05-12T18:44:00,Bengaluru,4
Pothole #266,Needs repair,12.921839,77.561547,user266,2025-04-23T18:13:00,Bengaluru,4
Pothole #267,Needs repair,12.885591,77.546288,user267,2025-05-19T05:22:00,Bengaluru,5
Pothole #268,Damaged patch,12.878083,77.641957,user268,2025-09-01T09:11:00,Bengaluru,3
Pothole #269,Needs repair,12.898438,77.651965,user269,2025-10-04T01:11:00,Bengaluru,4
Pothole #270,Needs repair,13.002567,77.734183,user270,2025-07-18T00:55:00,Bengaluru,5
Pothole #271,Causes skidding,12.959584,77.614067,user271,2025-03-19T11:06:00,Bengaluru,3
Pothole #272,Damaged patch,12.931882,77.742151,user272,2025-04-17T22:33:00,Bengaluru,4
Pothole #273,Causes skidding,13.031169,77.540393,user273,2025-04-16T17:28:00,Bengaluru,5
Pothole #274,Small crack,13.031388,77.621778,user274,2025-02-01T04:25:00,Bengaluru,5
Pothole #275,Needs repair,12.983404,77.555374,user275,2025-07-17T07:51:00,Bengaluru,1
Pothole #276,Small crack,12.97074,77.527888,user276,2025-04-10T13:33:00,Bengaluru,5
Pothole #277,Crater-like,12.894247,77.732381,user277,2025-05-11T19:40:00,Bengaluru,2
Pothole #278,Small crack,13.048034,77.728266,user278,2025-11-02T06:16:00,Bengaluru,3
Pothole #279,Causes skidding,13.016766,77.508821,user279,2025-11-02T06:12:00,Bengaluru,5
Pothole #280,Small crack,12.937898,77.74112,user280,2025-06-24T01:31:00,Bengaluru,1
Pothole #281,Deep hole,13.012693,77.560944,user281,2025-02-10T09:20:00,Bengaluru,2
Pothole #282,Crater-like,13.041026,77.511927,user282,2025-05-01T09:42:00,Bengaluru,3
Pothole #283,Crater-like,12.979199,77.743683,user283,2025-11-06T18:47:00,Bengaluru,4
Pothole #284,Small crack,12.985072,77.519831,user284,2025-03-27T22:20:00,Bengaluru,1
Pothole #285,Causes skidding,12.868114,77.710243,user285,2025-10-23T20:32:00,Bengaluru,1
Pothole #286,Damaged patch,12.892227,77.542496,user286,2025-03-01T08:26:00,Bengaluru,1
Pothole #287,Deep hole,12.896337,77.608023,user287,2025-03-04T10:18:00,Bengaluru,4
Pothole #288,Crater-like,12.885109,77.600755,user288,2025-10-25T14:51:00,Bengaluru,2
